Ranking,Nombre,Total,Torneo con Causa Singles,Torneo con Causa Dobles,San Valentin Singles,San Valentin Dobles
1,Arturo Ledezma,500,200,100,200,0
2,Jose Enrique Leon,200,50,25,100,25
3,Fedor Curiel ,180,100,15,50,15
4,Iram Contreras,150,0,50,0,100
5,Luis Contreras,150,0,50,0,100
6,Omar Jahuey,125,25,0,100,0
7,Uriel Mora,125,25,100,0,0
8,Marely Alvarado,112,50,62,0,0
9,Mau Manzo,106,100,6,0,0
10,Julian Sotelo,87,12,0,50,25
11,Javier Balderas,77,12,50,12,3
12,Daphne Gomez,75,25,0,50,0
13,Sofia Alvarado,62,12,50,0,0
14,Carlos Diaz,62,25,6,25,6
15,Pablo Carne,62,50,0,12,0
16,Alberto Loaiza,56,0,0,50,6
17,Renata Romero,56,6,0,25,25
18,Richard Jimenez,56,0,50,0,6
19,Daniel Mora,50,25,25,0,0
20,Roy Meza,50,0,25,25,0
21,Pedro Alfaro,50,50,0,0,0
22,Juan Carlos Gutierrez,50,25,25,0,0
23,Hector Zavala,50,0,0,0,50
24,Mauricio Lopez Facio,50,0,0,0,50
25,Andre Corpi,50,0,0,0,50
26,Carlo Perez,50,0,0,0,50
27,Damian Vazquez,49,25,18,0,6
28,Gabriel Castillo,48,24,0,12,12
29,Francisco Araujo,40,25,0,12,3
30,Maria Jose Araujo,39,12,0,24,3
31,Leonardo Balderas,38,12,25,0,1
32,Edgar Abud,37,12,0,25,0
33,Orlando Gonzalez,37,0,25,12,0
34,Edson Mata,36,18,6,6,6
35,Fransisco Gallegos,31,0,0,25,6
36,Liliam Ramirez,31,0,25,6,0
37,Norma Carrillo,31,0,25,6,0
38,Edgardo Franco,30,12,18,0,0
39,Paulina Velasco,29,0,0,25,4
40,Jorge Lozano,28,0,0,0,28
41,Mauricio Sotelo,27,12,0,12,3
42,Luis Manzo,25,25,0,0,0
43,Chava Hernandez,25,0,0,25,0
44,Dulce Grimaldo,25,25,0,0,0
45,Alfonso Leal,24,0,0,12,12
46,Victor Cadena,21,6,0,12,3
47,Luca Torres,21,6,0,12,3
48,Leo Monsivais,18,6,12,0,0
49,Diego Gallegos,18,12,6,0,0
50,Oscar Perez,18,0,6,12,0
51,Javier Nava Salazar,15,0,0,12,3
52,Adriana Monsivais,15,0,12,3,0
53,Jose Romero Zuniga,15,0,3,12,0
54,Jesus Hernandez Aranda,13,6,0,6,1
55,Arturo Salina,12,12,0,0,0
56,Julian Axel,12,12,0,0,0
57,Estefania Gonzalez,12,0,0,6,6
58,Briana Reza,12,0,0,6,6
59,Regina Encinas,12,0,0,6,6
60,Alan Dos Santos,12,0,0,0,12
61,Nico Dos Santos,12,0,0,0,12
62,Alberto Blanco ,12,0,0,0,12
63,Hector Correa,12,0,0,0,12
64,Isac Gutierrez,12,12,0,0,0
65,Gerardo Ocana,12,0,0,0,12
66,Raymundo Zapata,12,0,0,0,12
67,Fer Araujo,10,3,0,6,1
68,Aislinn Tapia,9,0,3,6,0
69,Jose Guadalupe Castillo,6,6,0,0,0
70,Felipe Turrubiartes,6,0,0,6,0
71,Josue Sandoval,6,3,0,0,3
72,Uriel Martinez,6,6,0,0,0
73,Jesus Hernandez Castilla,6,6,0,0,0
74,Lucas Eduardo Gomez Collazo,6,0,0,6,0
75,Frida Torres,6,0,0,3,3
76,Maria Rodriguez,6,0,0,0,6
77,Martin Zavala,6,0,0,0,6
78,Anna Paula Perez,6,0,6,0,0
79,Miguel Pedraza,6,0,0,0,6
80,Oscar Bernando Sanchez,6,0,0,0,6
81,Ana Daniela Izzo,6,0,0,0,6
82,Alex Campos,4,0,0,3,1
83,Valentina Pereira,4,0,3,1,0
84,Martin,4,0,1,3,0
85,Inaki Villasenor,3,3,0,0,0
86,Ale Muniz,3,3,0,0,0
87,Jacquelin Reyna,3,0,0,3,0
88,Luis Jahzeel Medina,3,0,0,0,3
89,Paulina Mireles,3,0,0,0,3
90,Yair Velazquez,3,0,0,0,3
91,Josefina Olivares,3,0,0,0,3
92,Katya Vazquez,3,0,0,0,3
93,Ariel Uribe,3,3,0,0,0
94,Fernando Guerrero,3,0,0,0,3
95,Edgar Acosta,3,0,0,0,3
96,Carlos Lozano,3,0,0,0,3
97,Evelin Joachin,3,0,0,0,3
